n00004475	organism, being
n03413428	gambling house, gambling den, gambling hell, gaming house
n03413684	gambrel, gambrel roof
n03413828	game
n03414029	gamebag
n03414162	game equipment
n03414676	gaming table
n03415252	gamp, brolly
n03415486	gangplank, gangboard, gangway
n03415626	gangsaw
n03415749	gangway
n03415868	gantlet
n03416094	gantry, gauntry
n03416489	garage
n03416640	garage, service department
n03416775	Garand rifle, Garand, M-1, M-1 rifle
n03416900	garbage
n03417042	garbage truck, dustcart
n03417202	garboard, garboard plank, garboard strake
n03417345	garden
n03417749	garden
n03417970	garden rake
n03418158	garden spade
n03418242	garden tool, lawn tool
n03418402	garden trowel
n03418618	gargoyle
n03418749	garibaldi
n03418915	garlic press
n03419014	garment
n03420345	garment bag
n03420801	garrison cap, overseas cap
n03420935	garrote, garotte, garrotte, iron collar
n03421117	garter, supporter
n03421324	garter belt, suspender belt
n03421485	garter stitch
n03421669	gas guzzler
n03421768	gas shell
n03421960	gas bracket
n03422072	gas burner, gas jet
n03422484	gas-cooled reactor
n03422589	gas-discharge tube
n03422771	gas engine
n03423099	gas fixture
n03423224	gas furnace
n03423306	gas gun
n03423479	gas heater
n03423568	gas holder, gasometer
n03423719	gasket
n03423877	gas lamp
n03424204	gas maser
n03424325	gasmask, respirator, gas helmet
n03424489	gas meter, gasometer
n03424630	gasoline engine, petrol engine
n03424862	gasoline gauge, gasoline gage, gas gauge, gas gage, petrol gauge, petrol gage
n03425241	gas oven
n03425325	gas oven
n03425413	gas pump, gasoline pump, petrol pump, island dispenser
n03425595	gas range, gas stove, gas cooker
n03425769	gas ring
n03426134	gas tank, gasoline tank, petrol tank
n03426285	gas thermometer, air thermometer
n03426462	gastroscope
n03426574	gas turbine
n03426871	gas-turbine ship
n03427202	gat, rod
n03427296	gate
n03428090	gatehouse
n03428226	gateleg table
n03428349	gatepost
n03429003	gathered skirt
n03429137	Gatling gun
n03429288	gauge, gage
n03429682	gauntlet, gantlet
n03429771	gauntlet, gantlet, metal glove
n03429914	gauze, netting, veiling
n03430091	gauze, gauze bandage
n03430313	gavel
n03430418	gazebo, summerhouse
n03430551	gear, gear wheel, geared wheel, cogwheel
n03430959	gear, paraphernalia, appurtenance
n03431243	gear, gear mechanism
n03431570	gearbox, gear box, gear case
n03431745	gearing, gear, geartrain, power train, train
n03432061	gearset
n03432129	gearshift, gearstick, shifter, gear lever
n03432360	Geiger counter, Geiger-Muller counter
n03432509	Geiger tube, Geiger-Muller tube
n03433247	gene chip, DNA chip
n03433637	general-purpose bomb, GP bomb
n03433877	generator
n03434188	generator
n03434285	generator
n03434830	Geneva gown
n03435593	geodesic dome
n03435743	georgette
n03435991	gharry
n03436075	ghat
n03436182	ghetto blaster, boom box
n03436417	gift shop, novelty shop
n03436549	gift wrapping
n03436656	gig
n03436772	gig
n03436891	gig
n03436990	gig
n03437184	gildhall
n03437295	gill net
n03437430	gilt, gilding
n03437581	gimbal
n03437741	gingham
n03437829	girandole, girandola
n03437941	girder
n03438071	girdle, cincture, sash, waistband, waistcloth
n03438257	glass, drinking glass
n03438661	glass
n03438780	glass cutter
n03438863	glasses case
n03439348	glebe house
n03439631	Glengarry
n03439814	glider, sailplane
n03440216	Global Positioning System, GPS
n03440682	glockenspiel, orchestral bells
n03440876	glory hole, lazaretto
n03441112	glove
n03441345	glove compartment
n03441465	glow lamp
n03441582	glow tube
n03442288	glyptic art, glyptography
n03442487	glyptics, lithoglyptics
n03442597	gnomon
n03442756	goal
n03443005	goalmouth
n03443149	goalpost
n03443371	goblet
n03443543	godown
n03443912	goggles
n03444034	go-kart
n03445326	gold plate
n03445617	golf bag
n03445777	golf ball
n03445924	golfcart, golf cart
n03446070	golf club, golf-club, club
n03446268	golf-club head, club head, club-head, clubhead
n03446832	golf equipment
n03447075	golf glove
n03447358	golliwog, golliwogg
n03447447	gondola
n03447721	gong, tam-tam
n03447894	goniometer
n03448031	Gordian knot
n03448590	gorget
n03448696	gossamer
n03448956	Gothic arch
n03449217	gouache
n03449309	gouge
n03449451	gourd, calabash
n03449564	government building
n03449858	government office
n03450230	gown
n03450516	gown, robe
n03450734	gown, surgical gown, scrubs
n03450881	grab
n03450974	grab bag
n03451120	grab bar
n03451253	grace cup
n03451365	grade separation
n03451711	graduated cylinder
n03451798	graffito, graffiti
n03452267	gramophone, acoustic gramophone
n03452449	granary, garner
n03452594	grandfather clock, longcase clock
n03452741	grand piano, grand
n03453231	graniteware
n03453320	granny knot, granny
n03453443	grape arbor, grape arbour
n03454110	grapnel, grapnel anchor
n03454211	grapnel, grapple, grappler, grappling hook, grappling iron
n03454442	grass skirt
n03454536	grate, grating
n03454707	grate, grating
n03454885	grater
n03455355	graver, graving tool, pointel, pointrel
n03455488	gravestone, headstone, tombstone
n03455642	gravimeter, gravity meter
n03455802	gravure, photogravure, heliogravure
n03456024	gravy boat, gravy holder, sauceboat, boat
n03456186	grey, gray
n03456299	grease-gun, gun
n03456447	greasepaint
n03456548	greasy spoon
n03456665	greatcoat, overcoat, topcoat
n03457008	great hall
n03457451	greave, jambeau
n03457686	greengrocery
n03457902	greenhouse, nursery, glasshouse
n03458271	grenade
n03458422	grid, gridiron
n03459328	griddle
n03459591	grill, grille, grillwork
n03459775	grille, radiator grille
n03459914	grillroom, grill
n03460040	grinder
n03460147	grinding wheel, emery wheel
n03460297	grindstone
n03460455	gripsack
n03460899	gristmill
n03461288	grocery bag
n03461385	grocery store, grocery, food market, market
n03461651	grogram
n03461882	groined vault
n03461988	groover
n03462110	grosgrain
n03462315	gros point
n03462747	ground, earth
n03462972	ground bait
n03463185	ground control
n03463381	ground floor, first floor, ground level
n03463666	groundsheet, ground cloth
n03464053	G-string, thong
n03464467	guard, safety, safety device
n03464628	guard boat
n03464952	guardroom
n03465040	guardroom
n03465151	guard ship
n03465320	guard's van
n03465426	gueridon
n03465500	Guarnerius
n03465605	guesthouse
n03465718	guestroom
n03465818	guidance system, guidance device
n03466162	guided missile
n03466493	guided missile cruiser
n03466600	guided missile frigate
n03466839	guildhall
n03466947	guilloche
n03467068	guillotine
n03467254	guimpe
n03467380	guimpe
n03467517	guitar
n03467796	guitar pick
n03467887	gulag
n03467984	gun
n03468570	gunboat
n03468696	gun carriage
n03468821	gun case
n03469031	gun emplacement, weapons emplacement
n03469175	gun enclosure, gun turret, turret
n03469493	gunlock, firing mechanism
n03469832	gunnery
n03469903	gunnysack, gunny sack, burlap bag
n03470005	gun pendulum
n03470222	gun room
n03470387	gunsight, gun-sight
n03470629	gun trigger, trigger
n03470948	gurney
n03471030	gusher
n03471190	gusset, inset
n03471347	gusset, gusset plate
n03471779	guy, guy cable, guy wire, guy rope
n03472232	gymnastic apparatus, exerciser
n03472535	gym shoe, sneaker, tennis shoe
n03472672	gym suit
n03472796	gymslip
n03472937	gypsy cab
n03473078	gyrocompass
n03473227	gyroscope, gyro
n03473465	gyrostabilizer, gyrostabiliser
n03473817	habergeon
n03473966	habit
n03474167	habit, riding habit
n03474352	hacienda
n03474779	hacksaw, hack saw, metal saw
n03474896	haft, helve
n03475581	hairbrush
n03475674	haircloth, hair
n03475823	hairdressing, hair tonic, hair oil, hair grease
n03475961	hairnet
n03476083	hairpiece, false hair, postiche
n03476313	hairpin
n03476542	hair shirt
n03476684	hair slide
n03476991	hair spray
n03477143	hairspring
n03477303	hair trigger
n03477410	halberd
n03477512	half binding
n03477773	half hatchet
n03477902	half hitch
n03478589	half track
n03478756	hall
n03478907	hall
n03479121	hall
n03479266	Hall of Fame
n03479397	hall of residence
n03479502	hallstand
n03480579	halter
n03480719	halter, hackamore
n03480973	hame
n03481172	hammer
n03481521	hammer, power hammer
n03482001	hammer
n03482128	hammerhead
n03482252	hammock, sack
n03482405	hamper
n03482523	hand
n03482877	handball
n03483086	handbarrow
n03483230	handbell
n03483316	hand blower, blow dryer, blow drier, hair dryer, hair drier
n03483531	handbow
n03483637	hand brake, emergency, emergency brake, parking brake
n03483823	hand calculator, pocket calculator
n03483971	handcar
n03484083	handcart, pushcart, cart, go-cart
n03484487	hand cream
n03484576	handcuff, cuff, handlock, manacle
n03484809	hand drill, handheld drill
n03484931	hand glass, simple microscope, magnifying glass
n03485198	hand glass, hand mirror
n03485309	hand grenade
n03485407	hand-held computer, hand-held microcomputer
n03485575	handhold
n03485794	handkerchief, hankie, hanky, hankey
n03487090	handlebar
n03487331	handloom
n03487444	hand lotion
n03487533	hand luggage
n03487642	hand-me-down
n03487774	hand mower
n03487886	hand pump
n03488111	handrest
n03488188	handsaw, hand saw, carpenter's saw
n03488438	handset, French telephone
n03488603	hand shovel
n03488784	handspike
n03488887	handstamp, rubber stamp
n03489048	hand throttle
n03489162	hand tool
n03490006	hand towel, face towel
n03490119	hand truck, truck
n03490324	handwear, hand wear
n03490449	handwheel
n03490649	handwheel
n03490784	hangar queen
n03490884	hanger
n03491032	hang glider
n03491724	hangman's rope, hangman's halter, halter, hemp, hempen necktie
n03491988	hank
n03492087	hansom, hansom cab
n03492250	harbor, harbour
n03492542	hard disc, hard disk, fixed disk
n03492922	hard hat, tin hat, safety hat
n03493219	hardtop
n03493792	hardware, ironware
n03493911	hardware store, ironmonger, ironmonger's shop
n03494278	harmonica, mouth organ, harp, mouth harp
n03494537	harmonium, organ, reed organ
n03494706	harness
n03495039	harness
n03495258	harp
n03495570	harp
n03495671	harpoon
n03495941	harpoon gun
n03496183	harpoon log
n03496296	harpsichord, cembalo
n03496486	Harris Tweed
n03496612	harrow
n03496892	harvester, reaper
n03497100	hash house
n03497352	hasp
n03497657	hat, chapeau, lid
n03498441	hatbox
n03498536	hatch
n03498662	hatchback, hatchback door
n03498781	hatchback
n03498866	hatchel, heckle
n03498962	hatchet
n03499354	hatpin
n03499468	hauberk, byrnie
n03499907	Hawaiian guitar, steel guitar
n03500090	hawse, hawsehole, hawsepipe
n03500209	hawser
n03500295	hawser bend
n03500389	hay bale
n03500457	hayfork
n03500557	hayloft, haymow, mow
n03500699	haymaker, hay conditioner
n03500838	hayrack, hayrig
n03500971	hayrack
n03501152	hazard
n03501288	head
n03501520	head
n03501614	head
n03502200	headboard
n03502331	head covering, veil
n03502509	headdress, headgear
n03502777	header
n03502897	header
n03503097	header, coping, cope
n03503233	header, lintel
n03503358	headfast
n03503477	head gasket
n03503567	head gate
n03503718	headgear
n03503997	headlight, headlamp
n03504205	headpiece
n03504293	headpin, kingpin
n03504723	headquarters, central office, main office, home office, home base
n03505015	headrace
n03505133	headrest
n03505383	headsail
n03505504	headscarf
n03505667	headset
n03505764	head shop
n03506028	headstall, headpiece
n03506184	headstock
n03506370	health spa, spa, health club
n03506560	hearing aid, ear trumpet
n03506727	hearing aid, deaf-aid
n03506880	hearse
n03507241	hearth, fireside
n03507458	hearthrug
n03507658	heart-lung machine
n03507963	heat engine
n03508101	heater, warmer
n03508485	heat exchanger
n03508881	heating pad, hot pad
n03509394	heat lamp, infrared lamp
n03509608	heat pump
n03509843	heat-seeking missile
n03510072	heat shield
n03510244	heat sink
n03510384	heaume
n03510487	heaver
n03510583	heavier-than-air craft
n03510866	heckelphone, basset oboe
n03510987	hectograph, heliotype
n03511175	hedge, hedgerow
n03511333	hedge trimmer
n03512030	helicon, bombardon
n03512147	helicopter, chopper, whirlybird, eggbeater
n03512452	heliograph
n03512624	heliometer
n03512911	helm
n03513137	helmet
n03513376	helmet
n03514129	hematocrit, haematocrit
n03514340	hemming-stitch
n03514451	hemostat, haemostat
n03514693	hemstitch, hemstitching
n03514894	henroost
n03515338	heraldry
n03515934	hermitage
n03516266	herringbone
n03516367	herringbone, herringbone pattern
n03516647	Herschelian telescope, off-axis reflector
n03516844	Hessian boot, hessian, jackboot, Wellington, Wellington boot
n03516996	heterodyne receiver, superheterodyne receiver, superhet
n03517509	hibachi
n03517647	hideaway, retreat
n03517760	hi-fi, high fidelity sound system
n03517899	high altar
n03517982	high-angle gun
n03518135	highball glass
n03518230	highboard
n03518305	highboy, tallboy
n03518445	highchair, feeding chair
n03518631	high gear, high
n03518829	high-hat cymbal, high hat
n03518943	highlighter
n03519081	highlighter
n03519226	high-pass filter
n03519387	high-rise, tower block
n03519674	high table
n03519848	high-warp loom
n03520493	hijab
n03521076	hinge, flexible joint
n03521431	hinging post, swinging post
n03521544	hip boot, thigh boot
n03521675	hipflask, pocket flask
n03521771	hip pad
n03521899	hip pocket
n03522003	hippodrome
n03522100	hip roof, hipped roof
n03522634	hitch
n03522863	hitch
n03522990	hitching post
n03523134	hitchrack, hitching bar
n03523398	hob
n03523506	hobble skirt
n03523987	hockey skate
n03524150	hockey stick
n03524287	hod
n03524425	hodoscope
n03524574	hoe
n03524745	hoe handle
n03524976	hogshead
n03525074	hoist
n03525252	hold, keep
n03525454	holder
n03525693	holding cell
n03525827	holding device
n03526062	holding pen, holding paddock, holding yard
n03527149	hollowware, holloware
n03527444	holster
n03527565	holster
n03527675	holy of holies, sanctum sanctorum
n03528100	home, nursing home, rest home
n03528263	home appliance, household appliance
n03528523	home computer
n03528901	home plate, home base, home, plate
n03529175	home room, homeroom
n03529444	homespun
n03529629	homestead
n03529860	home theater, home theatre
n03530189	homing torpedo
n03530511	hone
n03530642	honeycomb
n03530910	hood, bonnet, cowl, cowling
n03531281	hood
n03531447	hood
n03531546	hood, exhaust hood
n03531691	hood
n03531982	hood latch
n03532342	hook
n03532672	hook, claw
n03532919	hook
n03533014	hookah, narghile, nargileh, sheesha, shisha, chicha, calean, kalian, water pipe, hubble-bubble, hubbly-bubbly
n03533392	hook and eye
n03533486	hookup, assemblage
n03533654	hookup
n03533845	hook wrench, hook spanner
n03534580	hoopskirt, crinoline
n03534695	hoosegow, hoosgow
n03534776	Hoover
n03535024	hope chest, wedding chest
n03535284	hopper
n03535647	hopsacking, hopsack
n03535780	horizontal bar, high bar
n03536122	horizontal stabilizer, horizontal stabiliser, tailplane
n03536568	horizontal tail
n03536761	horn
n03537085	horn
n03537241	horn
n03537412	horn button
n03537550	hornpipe, pibgorn, stockhorn
